UPC_Code,Author_Name
11512509,RABIE
11019695,GOODMAN
10225723,RAZAVI
10634571,WEINSTEIN
10631619,KERNIGHAN
10349836,National Restaurant Association
10741553,Dow
11033277,Tan
10340495,Brady
11380349,SCARBOROUGH
10255651,ODHIAMBO
11908150,OBENCHAIN
10750955,SPIEGEL
11598964,RUBENSTEIN
11971697,PARKER
11817885,Hibbler
10958693,SAYRE
10076872,GRANT
10625392,Leu
11371101,GEANKOPLIS
10616474,REISER
11812137,VALLEN
11723855,WITTMER
10296313,HULL
10142863,LAMARSH
10513237,HASS
10837556,HIBBELER
10870009,SAFF
10970590,REUTZEL
11203606,CHOPRA
10707659,ROSS
10121343,OWENS
10524995,VANDEWALLE
11094805,BROOKHART
10104180,CROWL
10189673,FRIEDBERG
11366928,VUKELICH
10443769,SULLIVAN
10861089,Trujillo
10366461,BRIGGS
11998905,WITHGOTT
10202402,KNIGHT
11297961,HORSTMANN
10555590,Yell
10223686,ETKINA
11145783,Kotler
10028504,ETKINA
10240968,BETHUNE
10227048,TRUJILLO
10696972,BARRINGER
11195491,Gibb
10113881,OGATA
11165718,EDWARDS
11354551,Wood
10183653,Anton
10024286,OPPENHEIM
10668468,STRUNK
10145425,SEDGEWICK
11529821,STEVENS
10342454,RUBENSTEIN
10801491,Ashmore
11140043,WADE
10489638,BEAZLEY
10459938,KNIGHT
10980953,ANDERSON
10326554,WILD
11789106,KLAASSEN
11351780,Byers
10383808,EDMINISTER
11938993,Davis
11055740,YOUNG
11037810,BLANK
10483456,BLANK
10588184,BEER
11932682,SMITH
11431556,SILBERBERG
10018451,Abbott
11687885,CHANG
10558255,BRETZ
10723688,BRETZ
10329816,Nordell
11233176,BUDYNAS
11078753,Miller
11434218,Burdge
10655020,LARSON
11519890,SALADIN
10665662,GARRISON
10813470,GARRISON
10055773,ARENS
11788822,SILBERBERG
10779738,Raven
10370727,Abbott
11562255,Ross
10969081,Olson
10094030,Grewal
11607273,Kottak
11273620,Olson
11985917,Reck
11330762,NICKELS
10474519,Burdge
11208429,Lucas
10078775,Spiceland
10155295,Spiceland
10437919,Block
11511551,Kottak
10657250,Ross
11877022,King
10335544,Jaggia
10619903,Noe
11786462,Spilker
11170423,Chang
10216464,Ross
10949144,Hutzel
11874265,Wang
11367978,Nusrat
10106714,Malone
10152039,Hegel
10365278,Dieter
10233840,Dasgupta
11499178,Wainwright
10358828,Rackham
10856469,Kotler
10119609,Dieter
10980184,Dow
11040543,Brady
11771172,Tannenbaum
11922630,Williamson
10094283,Appling
11224966,Cooper
11484896,Trujillo
10860190,Yell
10045299,Fogler
11481660,Gibb
11820417,Wood
10330665,Anton
10269227,Prata
10194227,Davis
10606609,Adams
11848203,Wang
11982097,Nusrat
