Invoice_ID,UPC_Code,Quantity,Cust_ID,Date,
INV280056,1170601042,2,30708572,12/7/22,INV462298
INV338800,1170601042,3,30434410,22/7/2022,INV135960
INV554095,1170601042,2,26854669,31/7/2022,INV320541
INV820960,1170601042,3,31413823,31/8/2022,INV281178
INV909180,1170601042,2,32133792,2/8/22,INV862209
INV439651,1170601042,1,31316064,7/8/22,INV924308
INV189225,1170601042,1,32476529,11/8/22,INV138007
INV215292,1170601043,1,35551514,26/7/2022,INV698508
INV470442,1170601043,1,31415184,17/7/2022,INV229452
INV981886,1170601044,1,32640139,11/7/22,INV997726
INV178033,1170601044,1,32469432,15/8/2022,INV740959
INV709306,1170601044,2,31317679,23/8/2022,INV995641
INV334998,1170601044,1,29809775,10/8/22,INV649208
INV560992,1170601044,2,32307172,6/8/22,INV323689
INV598317,1170601044,2,34786941,15/7/2022,INV177769
INV630725,1170601045,1,31321856,16/8/2022,INV352212
INV281050,1170601045,1,31045060,7/8/22,INV237520
INV160359,1170601045,1,33255066,13/8/2022,INV200559
INV896089,1170601045,2,34393426,3/8/22,INV812284
INV520902,1170601045,2,35529280,16/7/2022,INV609614
INV462642,1170601046,1,32370141,30/8/2022,INV863515
INV165581,1170601046,1,31665807,3/7/22,INV758525
INV287661,1170601046,1,32008339,21/7/2022,INV790637
INV882572,1170601046,2,31427798,9/8/22,INV512078
INV552400,1170601046,1,33331611,29/7/2022,INV988141
INV846117,1170601046,1,34164139,28/7/2022,INV172852
INV722779,1170601046,1,34730725,30/7/2022,INV285067
INV596340,1170601046,1,33115599,24/7/2022,INV668186
INV171527,1573301684,3,32054485,5/7/22,INV811678
INV841356,1573301684,1,28827730,27/7/2022,INV182427
INV357162,1573301684,1,33060762,23/8/2022,INV269235
INV181208,1573301684,2,31716668,25/8/2022,INV150007
INV187180,1573301684,1,31613384,30/8/2022,INV347261
INV594581,1573301684,1,32598506,1/8/22,INV557079
INV770796,1573301684,2,31328386,13/8/2022,INV257530
INV902510,1573301684,1,31411522,31/7/2022,INV837119
INV938964,1573301684,1,31324075,22/8/2022,INV892204
INV436470,1573301684,5,31485769,14/7/2022,INV668811
INV772548,1573301684,1,34882579,28/8/2022,INV564484
INV709474,1573301684,1,33326088,3/7/22,INV806715
INV588401,1573301684,2,34182907,11/8/22,INV733542
INV717575,1573301684,1,35468548,27/8/2022,INV719671
INV752566,1573301684,2,30801810,1/7/22,INV248825
INV989467,1573302201,1,32395130,9/7/22,INV636234
INV215827,1573302201,1,31320916,18/8/2022,INV899495
INV339903,1573302201,1,31484464,10/7/22,INV697377
INV128321,1573302201,1,32379298,23/8/2022,INV263874
INV877439,1573302201,1,32582020,18/8/2022,INV491843
INV889588,1573302201,1,31677319,10/7/22,INV824013
INV659117,1573302201,2,32538282,9/8/22,INV328230
INV296149,1573302202,2,30598501,30/8/2022,INV795154
INV344783,1573302202,2,31691088,19/7/2022,INV753349
INV669533,1573302202,2,30760833,21/7/2022,INV907446
INV597091,1573302204,2,33800375,6/7/22,INV863621
INV355117,1573302204,1,35547888,31/7/2022,INV602799
INV991409,1573302205,2,34809612,13/7/2022,INV807237
INV330555,1573302205,2,33295827,5/7/22,INV393746
